6,,SORENG,75.5,26.4,186%,LE,533.0,395.1,35%,E
1,,ALIPURDUAR,30.8,23.8,29%,E,1399.9,749.6,87%,LE
2,,COOCH BEHAR,21.0,20.9,0%,N,1271.7,566.4,125%,LE
3,,DARJEELING,98.5,36.9,167%,LE,936.5,643.1,46%,E
4,,JALPAIGURI,77.1,30.1,156%,LE,1073.2,729.6,47%,E
5,,KALIMPONG,58.5,30.7,90%,LE,768.9,544.7,41%,E
6,,MALDA,12.6,9.4,34%,E,54.2,234.4,-77%,LD
7,,NORTH DINAJPUR,0.0,13.7,-100%,NR,141.2,339.6,-58%,D
8,,SOUTH DINAJPUR,0.0,15.6,-100%,NR,175.1,251.6,-30%,D
1,,BANKURA,16.3,12.3,32%,E,76.8,252.7,-70%,LD
2,,BIRBHUM,7.1,8.7,-18%,N,57.3,224.0,-74%,LD
3,,EAST MIDNAPORE,17.1,8.8,94%,LE,117.9,275.0,-57%,D
4,,HOOGHLY,40.5,13.5,200%,LE,90.2,239.6,-62%,LD
5,,HOWRAH,41.8,7.2,481%,LE,99.2,226.9,-56%,D
6,,JHARGRAM,0.5,10.4,-96%,LD,91.7,250.6,-63%,LD
7,,KOLKATA,17.6,10.5,68%,LE,143.2,282.9,-49%,D
8,,MURSHIDABAD,7.3,9.4,-22%,D,32.9,218.1,-85%,LD
9,,NADIA,6.2,5.8,6%,N,54.9,211.5,-74%,LD
10,,NORTH 24 PARGANAS,18.1,10.0,81%,LE,89.7,252.5,-64%,LD
11,,PASCHIM BARDHAMAN,13.4,12.1,11%,N,102.3,231.1,-56%,D
12,,PURBA BARDHAMAN,1.1,8.6,-87%,LD,56.2,219.5,-74%,LD
13,,PURULIA,21.1,8.2,157%,LE,87.0,233.2,-63%,LD
14,,SOUTH 24 PARGANAS,17.0,9.7,76%,LE,116.6,300.0,-61%,LD
15,,WEST MIDNAPORE,0.6,10.4,-95%,LD,70.5,250.6,-72%,LD
1,,ANGUL,3.1,8.4,-63%,LD,117.9,209.0,-44%,D
2,,BALASORE,31.9,11.8,170%,LE,113.9,252.7,-55%,D
3,,BARGARH,10.7,9.2,16%,N,153.8,213.7,-28%,D
4,,BHADRAK,0.7,5.7,-89%,LD,116.6,206.8,-44%,D
5,,BOLANGIR,15.3,7.6,101%,LE,129.4,177.0,-27%,D
6,,BOUDHGARH,12.1,10.0,21%,E,149.4,181.1,-18%,N
7,,CUTTACK,18.5,6.0,208%,LE,195.5,197.0,-1%,N
8,,DEOGARH,0.0,11.7,-100%,NR,165.9,201.0,-17%,N
9,,DHENKANAL,1.2,10.1,-88%,LD,185.8,205.8,-10%,N
10,,GAJAPATI,13.2,6.8,95%,LE,144.9,185.7,-22%,D
11,,GANJAM,1.1,5.5,-80%,LD,125.1,166.3,-25%,D
12,,JAGATSINGHPUR,3.8,4.6,-17%,N,143.8,169.7,-15%,N
13,,JAJPUR,1.6,5.7,-73%,LD,160.9,241.8,-33%,D
14,,JHARSUGUDA,2.7,10.5,-75%,LD,129.3,205.6,-37%,D
15,,KALAHANDI,29.4,8.8,234%,LE,151.2,238.5,-37%,D
16,,KANDHAMAL,8.5,8.2,3%,N,211.6,198.1,7%,N
17,,KENDRAPARA,0.2,4.1,-95%,LD,117.6,195.7,-40%,D
18,,KEONJHARGARH,4.3,8.5,-50%,D,118.0,239.5,-51%,D
19,,KHURDA,36.0,6.8,429%,LE,165.5,181.3,-9%,N
20,,KORAPUT,4.7,5.6,-16%,N,199.5,217.1,-8%,N
21,,MALKANGIRI,37.9,5.4,601%,LE,265.7,193.0,38%,E
22,,MAYURBHANJ,12.2,9.1,34%,E,90.9,272.8,-67%,LD
23,,NAWAPARA,16.5,8.2,101%,LE,127.6,182.7,-30%,D
24,,NAWARANGPUR,5.6,9.7,-42%,D,240.0,250.3,-4%,N
25,,NAYAGARH,34.1,6.6,417%,LE,210.1,192.5,9%,N
26,,PURI,29.4,3.7,695%,LE,97.4,158.2,-38%,D
27,,RAYAGADA,7.8,5.3,46%,E,152.8,180.4,-15%,N
28,,SAMBALPUR,5.6,9.7,-42%,D,144.1,210.8,-32%,D
29,,SONEPUR,14.6,10.2,43%,E,183.4,192.5,-5%,N
30,,SUNDARGARH,12.3,9.8,26%,E,133.6,214.6,-38%,D
1,,BOKARO,15.5,8.4,85%,LE,66.8,166.6,-60%,LD
2,,CHATRA,35.5,7.3,386%,LE,75.6,160.5,-53%,D
3,,DEOGHAR,13.5,9.2,47%,E,48.5,185.8,-74%,LD
4,,DHANBAD,12.2,12.4,-2%,N,99.5,210.3,-53%,D
5,,DUMKA,12.7,10.7,19%,N,60.4,198.9,-70%,LD
6,,EAST SINGBHUM,7.6,9.0,-15%,N,60.1,235.7,-75%,LD
7,,GARHWA,19.6,7.0,180%,LE,36.6,132.4,-72%,LD
8,,GIRIDIH,15.2,9.2,65%,LE,60.6,188.4,-68%,LD
9,,GODDA,0.7,8.5,-91%,LD,37.7,169.1,-78%,LD
10,,GUMLA,39.7,8.5,367%,LE,131.2,198.0,-34%,D
11,,HAZARIBAG,31.7,9.2,245%,LE,86.1,193.2,-55%,D
12,,JAMTARA,2.2,9.6,-77%,LD,68.4,204.9,-67%,LD
13,,KHUNTI,14.6,9.3,57%,E,71.3,202.4,-65%,LD
14,,KODERMA,25.9,6.7,287%,LE,57.0,155.7,-63%,LD
15,,LATEHAR,31.6,5.8,445%,LE,58.7,175.8,-67%,LD
16,,LOHARDAGA,31.0,7.9,292%,LE,75.2,195.0,-61%,LD
17,,PAKUR,6.4,7.5,-15%,N,28.9,226.3,-87%,LD
18,,PALAMU,58.3,5.7,922%,LE,79.9,121.6,-34%,D
19,,RAMGARH,14.6,7.1,106%,LE,51.3,196.5,-74%,LD
20,,RANCHI,13.4,6.9,94%,LE,90.8,197.6,-54%,D
21,,SAHIBGANJ,38.3,11.0,248%,LE,76.3,227.0,-66%,LD
22,,SERAIKELA-KHARSAWAN,7.8,7.9,-1%,N,75.5,204.3,-63%,LD
23,,SIMDEGA,4.2,6.7,-38%,D,94.6,234.8,-60%,LD
24,,WEST SINGBHUM,0.9,7.9,-89%,LD,69.2,200.5,-65%,LD
1,,ARARIA,0.6,17.0,-96%,LD,282.4,262.6,8%,N
2,,ARWAL,65.8,9.1,623%,LE,75.1,91.8,-18%,N
3,,AURANGABAD,52.9,5.7,828%,LE,66.0,126.8,-48%,D
4,,BANKA,7.6,8.1,-7%,N,20.7,139.5,-85%,LD
5,,BEGUSARAI,13.7,12.5,9%,N,21.9,165.6,-87%,LD
6,,BHABUA,22.4,9.4,139%,LE,41.6,111.7,-63%,LD
7,,BHAGALPUR,5.0,12.1,-58%,D,27.9,179.5,-84%,LD
8,,BHOJPUR,17.0,13.6,25%,E,29.1,116.4,-75%,LD
9,,BUXAR,13.0,9.1,43%,E,46.1,110.6,-58%,D
10,,DARBHANGA,19.7,10.8,83%,LE,67.6,145.1,-53%,D
11,,EAST CHAMPARAN,34.5,14.2,143%,LE,103.4,177.8,-42%,D
12,,GAYA,59.4,9.5,525%,LE,73.2,135.4,-46%,D
13,,GOPALGANJ,8.0,13.3,-40%,D,59.9,142.8,-58%,D
14,,JAHANABAD,74.7,6.6,1031%,LE,84.7,125.2,-32%,D
15,,JAMUI,45.5,8.6,429%,LE,61.7,147.4,-58%,D
16,,KATIHAR,5.9,11.5,-49%,D,59.1,211.9,-72%,LD
17,,KHAGARIA,3.6,15.3,-76%,LD,23.5,184.5,-87%,LD
18,,KISHANGANJ,49.2,24.0,105%,LE,604.1,342.6,76%,LE
19,,LAKHISARAI,65.4,14.5,351%,LE,83.7,121.7,-31%,D
20,,MADHEPURA,5.1,11.7,-56%,D,58.4,197.5,-70%,LD
21,,MADHUBANI,1.4,12.3,-89%,LD,65.2,169.2,-61%,LD
22,,MONGHYR,3.0,11.0,-73%,LD,20.7,164.0,-87%,LD
23,,MUZAFFARPUR,19.2,17.8,8%,N,55.8,157.0,-64%,LD
24,,NALANDA,11.8,9.8,21%,E,14.2,119.2,-88%,LD
25,,NAWADA,58.8,10.3,471%,LE,69.1,124.3,-44%,D
26,,PATNA,20.5,11.8,74%,LE,30.6,130.2,-76%,LD
27,,PURNEA,14.7,17.2,-14%,N,136.5,279.7,-51%,D
28,,ROHTAS,10.1,4.7,116%,LE,20.9,115.4,-82%,LD
29,,SAHARSA,4.9,11.4,-57%,D,55.8,195.6,-71%,LD
30,,SAMASTIPUR,18.6,14.1,32%,E,27.7,158.4,-83%,LD
31,,SARAN,13.4,19.1,-30%,D,25.3,129.7,-80%,LD
32,,SHEIKHPURA,23.4,11.5,103%,LE,46.3,130.1,-64%,LD
33,,SHEOHAR,43.8,15.3,186%,LE,145.1,179.1,-19%,N
34,,SITAMARHI,23.2,14.6,59%,E,111.1,188.9,-41%,D
35,,SIWAN,8.7,12.4,-30%,D,49.8,130.8,-62%,LD
36,,SUPAUL,0.0,11.0,-100%,NR,129.3,203.4,-36%,D
37,,VAISHALI,2.0,15.1,-87%,LD,13.0,126.1,-90%,LD
38,,WEST CHAMPARAN,0.0,11.9,-99%,LD,138.8,200.8,-31%,D
1,,AMBEDKAR NAGAR,14.5,6.1,137%,LE,129.1,114.5,13%,N
2,,AMETHI,0.8,5.0,-84%,LD,12.9,80.7,-84%,LD
3,,AYODHYA,12.7,12.0,6%,N,200.0,125.0,60%,LE
4,,AZAMGARH,1.1,4.8,-78%,LD,29.9,96.4,-69%,LD
5,,BAHRAICH,51.3,6.9,644%,LE,103.7,155.2,-33%,D
6,,BALLIA,11.1,7.5,48%,E,55.7,108.9,-49%,D
7,,BALRAMPUR,46.9,6.4,633%,LE,148.5,116.7,27%,E
8,,BANDA,0.0,8.9,-100%,NR,43.3,104.7,-59%,D
9,,BARABANKI,30.1,6.2,386%,LE,59.7,101.4,-41%,D
