BHADOHI,25.424304,82.4883923,-57,D
CHANDAULI,25.125695,83.2494601,-2,N
CHITRAKOOT,25.2171389,81.1045927,25,E
DEORIA,26.4239911,83.7638578,-95,LD
FARRUKHABAD,27.4362002,79.4894778,34,E
FATEHPUR,25.8348023,80.9154547,-67,LD
GHAZIPUR,25.6034862,83.5075888,-21,D
GONDA,27.1103723,81.9238906,-49,D
GORAKHPUR,26.6677977,83.3642334,-25,D
HARDOI,27.3369978,80.0998232,8,N
JAUNPUR,25.7967065,82.4888992,-78,LD
KANNAUJ,26.9986675,79.6927946,97,LE
KANPUR CITY,26.4551032,80.3512287,29,E
KANPUR DEHAT,26.4585639,79.8548052,-6,N
KAUSHAMBI,25.5342456,81.4493567,7,N
KHERI,28.116667,80.716667,20,E
KUSHI NAGAR,13.0998557,80.2790862,-83,LD
LUCKNOW,26.8381,80.9346001,-25,D
MAHARAJGANJ,27.0936024,83.5660681,16,N
MAU,26.0390904,83.4985846,-56,D
MIRZAPUR,24.9316896,82.6280163,-47,D
PRATAPGARH,25.75,81.75,3,N
PRAYAGRAJ,25.4381302,81.8338005,33,E
RAE BAREILLY,26.2501953,81.3809567,-51,D
SANT KABIR NAGAR,26.755082,83.0398545,-42,D
SHRAWASTI NAGAR,19.1550091,72.8403172,17,N
SIDDHARTH NAGAR,18.5654242,73.8136305,-2,N
SITAPUR,27.5026747,80.8335139,-31,D
SONBHADRA,24.4148159,83.0637517,60,LE
SULTANPUR,26.2604732,82.2380532,-66,LD
UNNAO,26.5673264,80.6198193,53,E
VARANASI,25.3356491,83.0076292,-1,N
AGRA,27.1752554,78.0098161,168,LE
ALIGARH,27.8761073,78.1358153,91,LE
AMROHA,28.7952632,78.3436244,-30,D
AURAIYA,26.6558215,79.5160757,-14,N
BADAUN,28.0649367,79.043832,-40,D
BAGHPAT,29.0374779,77.3062737,-70,LD
BAREILLY,28.4582344,79.4047452,103,LE
BIJNOR,29.4074203,78.4821406,108,LE
BULANDSHAHAR,28.5246712,77.5996529,26,E
ETAH,27.5550357,78.5992221,356,LE
ETAWAH,26.7155629,79.0917098,112,LE
FIROZABAD,27.1941954,78.4604956,191,LE
GAUTAM BUDDHA NAGAR,28.3687159,77.5970121,-80,LD
GHAZIABAD,28.7749966,77.4586967,-50,D
HAMIRPUR,25.75,80.0,96,LE
HAPUR,28.7166767,77.890433,-42,D
HATHRAS,27.5724324,78.1116209,183,LE
JALAUN,26.1048633,79.3919136,34,E
JHANSI,25.529855,78.6527802,70,LE
KASGANJ,27.7888527,78.8229701,64,LE
LALITPUR,24.6999688,78.51862,80,LE
MAHOBA,25.3615938,79.706011,132,LE
MAINPURI,27.2093072,79.0625369,63,LE
MATHURA,27.4955539,77.6855554,47,E
MEERUT,29.0018557,77.7679671,101,LE
MORADABAD,28.8796553,78.8095335,-15,N
MUZAFFARNAGAR,29.4496978,77.7429333,97,LE
PILIBHIT,28.4947158,80.1076122,-41,D
RAMPUR,28.7934728,79.1845806,57,E
SAHARANPUR,29.9856799,77.5040646,86,LE
SAMBHAL,28.4271927,78.5564546,182,LE
SHAHJAHANPUR,27.9128583,79.7476254,-24,D
SHAMLI,29.4811507,77.2901344,-49,D
ALMORA,29.7026509,79.4326318,-1,N
BAGESHWAR,30.0087902,79.9280183,292,LE
CHAMOLI,30.4985956,79.6190537,202,LE
CHAMPAWAT,29.235032,80.1023068,-7,N
DEHRADUN,30.3255646,78.0436813,58,E
GARHWAL PAURI,29.8473168,78.7070479,8,N
GARHWAL TEHRI,30.4658181,78.4837349,85,LE
HARDWAR,29.9384473,78.1452985,22,E
NAINITAL,29.3905295,79.460869,-19,N
PITHORAGARH,29.585871,80.215167,-10,N
RUDRAPRAYAG,30.4915835,79.0366067,43,E
UDHAM SINGH NAGAR,29.0478313,79.4326164,12,N
UTTARKASHI,30.9635733,78.6362521,11,N
AMBALA,30.3843674,76.770421,0,N
BHIWANI,28.7931703,76.1391283,35,E
CHARKHI DADRI,28.5919933,76.2719817,-6,N
FARIDABAD,28.4031478,77.3105561,-43,D
FATEHABAD,29.5359209,75.5752901,10,N
GURGAON,28.4646148,77.0299194,3,N
HISAR,29.2396596,75.8174505,74,LE
JHAJJAR,28.5964461,76.6505366,35,E
